Java HotSpot(TM) 64-Bit Server VM (25.131-b11) for bsd-amd64 JRE (1.8.0_131-b11), built on Mar 15 2017 01:32:22 by "java_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 16777216k(783600k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=1073741824 -XX:MaxHeapSize=1073741824 -XX:MaxNewSize=524288 -XX:NewSize=524288 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseSerialGC 
0.975: [GC (Allocation Failure) 0.975: [DefNew: 447K->63K(448K), 0.0012065 secs] 34192K->34187K(1048512K), 0.0012581 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.985: [GC (Allocation Failure) 0.985: [DefNew: 447K->63K(448K), 0.0011795 secs] 34571K->34566K(1048512K), 0.0012269 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
0.994: [GC (Allocation Failure) 0.994: [DefNew: 447K->64K(448K), 0.0012052 secs] 34950K->34944K(1048512K), 0.0012678 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
1.004: [GC (Allocation Failure) 1.004: [DefNew: 448K->64K(448K), 0.0012587 secs] 35328K->35323K(1048512K), 0.0013130 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.014: [GC (Allocation Failure) 1.014: [DefNew: 448K->63K(448K), 0.0013157 secs] 35707K->35693K(1048512K), 0.0013701 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
1.024: [GC (Allocation Failure) 1.024: [DefNew: 447K->63K(448K), 0.0013117 secs] 36077K->36075K(1048512K), 0.0013758 secs] [Times: user=0.00 sys=0.01, real=0.01 secs] 
1.034: [GC (Allocation Failure) 1.034: [DefNew: 447K->63K(448K), 0.0012039 secs] 36459K->36455K(1048512K), 0.0012549 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
1.043: [GC (Allocation Failure) 1.043: [DefNew: 447K->63K(448K), 0.0011845 secs] 36839K->36830K(1048512K), 0.0012376 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.052: [GC (Allocation Failure) 1.053: [DefNew: 447K->63K(448K), 0.0013327 secs] 37214K->37205K(1048512K), 0.0013895 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.061: [GC (Allocation Failure) 1.061: [DefNew: 447K->63K(448K), 0.0011553 secs] 37588K->37578K(1048512K), 0.0011907 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1.071: [GC (Allocation Failure) 1.071: [DefNew: 447K->64K(448K), 0.0014002 secs] 37962K->37949K(1048512K), 0.0014542 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.080: [GC (Allocation Failure) 1.080: [DefNew: 448K->64K(448K), 0.0013664 secs] 38333K->38321K(1048512K), 0.0014175 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.090: [GC (Allocation Failure) 1.090: [DefNew: 448K->64K(448K), 0.0017632 secs] 38705K->38697K(1048512K), 0.0018268 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.099: [GC (Allocation Failure) 1.099: [DefNew: 448K->63K(448K), 0.0012837 secs] 39081K->39070K(1048512K), 0.0013233 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.109: [GC (Allocation Failure) 1.109: [DefNew: 447K->64K(448K), 0.0013279 secs] 39454K->39443K(1048512K), 0.0013910 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
